mapped_gene	pvalue
ANKRD44, ANKRD44-IT1	0.000005
ANKRD44	0.000001
CHIA	0.000003
PNP	0.0000001
PRKG1	0.00000003
FLJ38122 - DLL1	0.0000002
MIR4301 - TMPRSS5	0.000003
RPS7P7 - GRXCR1	0.000002
CRP - RPL27P2	0.0000000000001
TRNAI25	1e-21
ABCA1	0.0000008
FTO	0.0000006
LAMA3	0.0000004
LINC00486	0.00000004
LINC00486	0.0000008
LOC100506385	0.0000005
LOC101927421	0.0000006
LOC101927421	0.0000004
NKAIN3	0.0000003
PRDM16	0.0000007
RBFOX1	0.0000005
ST8SIA2	0.0000001
ST8SIA2	0.0000007
SYCP2L	0.0000006
A1BG - FAM20C	0.0000001
BSND - PCSK9	0.0000007
CDRT8 - PMP22	0.0000009
DLG1-AS1 - BDH1	0.00000001
FERD3L - TWISTNB	0.00000002
FERD3L - TWISTNB	0.0000004
HMGB3P18 - RNU1-18P	0.0000004
IZUMO3 - TUSC1	0.0000006
LINC00705 - AKR1E2	0.000001
LINC00705 - AKR1E2	0.000000005
MRPL49P2 - FGF20	0.0000003
NRIP1 - CYCSP42	0.0000008
OSTF1 - OTX2P1	0.000001
RAD51AP1 - DYRK4	0.0000002
RANP3 - CHRDL2	0.0000007
RBX1 - RPS9P2	0.0000004
RPS2P38 - LUZP2	0.0000007
RPS2P38 - LUZP2	0.000007
ZNF671 - ZNF776	0.00000005
C1orf106	0.000005
CPXM2	0.000007
MST1	0.0000008
ACTR3B - DPP6	0.0000005
DSE - CBX3P9	0.0000000008
GPD2 - RPLP0P7	0.000006
MYT1L-AS1 - LINC01250	0.000009
RPL5P26 - COL13A1	0.000005
RPS26P24 - SRIP1	0.0000001
NOTCH4	0.00000002
TRNAI25	0.000000007
LNPEP	0.000000002
TECPR2	0.0000002
C14orf37	0.000002
C6orf10	0.000002
CCDC38	0.000002
CRB1	0.000005
HCG27	0.000009
HIVEP3	0.000002
KIZ	0.000005
NIN	0.0000003
PRPF18	0.000005
SLC5A11	0.0000005
TRNAI25	0.0000003
ACTBL2 - PGAM1P1	0.000003
GSX2 - RPL22P13	0.0000005
HSP90AA6P - MIR6082	0.000002
PDK1P1 - ME2P1	0.000001
SNTB1 - RPL35AP19	0.000001
